requestId,source,destination,category,urgency,timeSubmitted,deadline,status
R0021,L021,L028,Plumbing,Low,2026-07-07 11:28:00,2026-07-10 11:28:00,Assigned
R0022,L026,L035,Waste Collection,Medium,2026-07-20 13:18:00,2026-07-21 13:18:00,Completed
R0023,L001,L005,WiFi Outage,High,2026-07-15 05:36:00,2026-07-15 11:36:00,Completed
R0024,L022,L039,IT Support,Low,2026-07-09 22:32:00,2026-07-12 22:32:00,In Progress
R0025,L022,L002,Waste Collection,Low,2026-07-08 09:28:00,2026-07-11 09:28:00,Completed
R0026,L041,L016,Plumbing,Medium,2026-07-08 12:41:00,2026-07-09 12:41:00,Pending
R0027,L007,L033,Shuttle Request,Low,2026-07-14 17:14:00,2026-07-17 17:14:00,Completed
R0028,L043,L042,Plumbing,Low,2026-07-11 08:16:00,2026-07-14 08:16:00,Pending
R0029,L036,L018,Cleaning,High,2026-07-07 03:17:00,2026-07-07 09:17:00,Completed
R0030,L047,L011,Furniture Repair,Low,2026-07-20 07:47:00,2026-07-23 07:47:00,Pending
R0031,L017,L040,WiFi Outage,Medium,2026-07-07 01:23:00,2026-07-08 01:23:00,Assigned
R0032,L045,L032,Furniture Repair,Medium,2026-07-16 08:35:00,2026-07-17 08:35:00,Completed
R0033,L006,L042,Waste Collection,Medium,2026-07-21 03:11:00,2026-07-22 03:11:00,Completed
R0034,L008,L024,Plumbing,Medium,2026-07-17 14:41:00,2026-07-18 14:41:00,Completed
R0035,L033,L021,Medical Assist,High,2026-07-16 20:32:00,2026-07-17 02:32:00,Assigned
R0036,L022,L023,WiFi Outage,Medium,2026-07-09 09:54:00,2026-07-10 09:54:00,Assigned
R0037,L040,L028,WiFi Outage,Low,2026-07-08 23:07:00,2026-07-11 23:07:00,In Progress
R0038,L025,L029,Waste Collection,Low,2026-07-20 23:22:00,2026-07-23 23:22:00,Pending
R0039,L037,L043,WiFi Outage,High,2026-07-07 03:25:00,2026-07-07 09:25:00,Pending
R0040,L031,L009,Shuttle Request,Medium,2026-07-02 16:01:00,2026-07-03 16:01:00,Cancelled
R0041,L024,L047,Medical Assist,Medium,2026-07-13 03:55:00,2026-07-14 03:55:00,Assigned
R0042,L004,L010,Electrical,Medium,2026-07-18 17:31:00,2026-07-19 17:31:00,In Progress
R0043,L028,L015,Waste Collection,Low,2026-07-09 04:24:00,2026-07-12 04:24:00,Completed
R0044,L034,L030,Plumbing,Medium,2026-07-03 21:07:00,2026-07-04 21:07:00,Completed
R0045,L005,L001,Furniture Repair,Low,2026-07-02 18:06:00,2026-07-05 18:06:00,Pending
R0046,L042,L032,Electrical,Low,2026-07-06 08:35:00,2026-07-09 08:35:00,Assigned
R0047,L047,L036,Security,Medium,2026-07-03 15:07:00,2026-07-04 15:07:00,Completed
R0048,L008,L046,Security,High,2026-07-07 18:03:00,2026-07-08 00:03:00,Completed
R0049,L003,L042,Plumbing,Medium,2026-07-02 15:54:00,2026-07-03 15:54:00,Pending
R0050,L021,L016,Plumbing,Medium,2026-07-20 13:06:00,2026-07-21 13:06:00,Cancelled
R0051,L044,L047,IT Support,Medium,2026-07-01 07:53:00,2026-07-02 07:53:00,Assigned
R0052,L028,L017,Waste Collection,Low,2026-07-13 10:41:00,2026-07-16 10:41:00,Pending
R0053,L047,L039,Waste Collection,Medium,2026-07-19 14:14:00,2026-07-20 14:14:00,Assigned
R0054,L034,L005,Cleaning,Medium,2026-07-21 23:15:00,2026-07-22 23:15:00,Completed
R0055,L014,L041,Medical Assist,Medium,2026-07-20 02:56:00,2026-07-21 02:56:00,Cancelled
R0056,L023,L047,Waste Collection,Low,2026-07-12 04:39:00,2026-07-15 04:39:00,Completed
R0057,L008,L038,Cleaning,Low,2026-07-20 12:32:00,2026-07-23 12:32:00,Pending
R0058,L003,L050,Shuttle Request,Critical,2026-07-21 22:58:00,2026-07-22 00:58:00,Pending
R0059,L019,L007,Medical Assist,High,2026-07-14 20:32:00,2026-07-15 02:32:00,Completed
R0060,L036,L031,Plumbing,Medium,2026-07-08 21:43:00,2026-07-09 21:43:00,Completed
R0061,L035,L008,Shuttle Request,Low,2026-07-05 17:55:00,2026-07-08 17:55:00,Completed
R0062,L035,L043,IT Support,Medium,2026-07-09 06:34:00,2026-07-10 06:34:00,Pending
R0063,L038,L047,Security,Low,2026-07-18 02:38:00,2026-07-21 02:38:00,Pending
R0064,L015,L048,WiFi Outage,Low,2026-07-14 19:07:00,2026-07-17 19:07:00,Pending
R0065,L025,L050,IT Support,Critical,2026-07-02 18:32:00,2026-07-02 20:32:00,Pending
R0066,L043,L007,Security,High,2026-07-18 16:55:00,2026-07-18 22:55:00,Completed
R0067,L034,L042,Medical Assist,High,2026-07-14 11:00:00,2026-07-14 17:00:00,Completed
R0068,L012,L004,Shuttle Request,High,2026-07-20 18:21:00,2026-07-21 00:21:00,Pending
R0069,L033,L042,Waste Collection,High,2026-07-07 04:28:00,2026-07-07 10:28:00,Completed
R0070,L037,L048,Waste Collection,High,2026-07-07 00:06:00,2026-07-07 06:06:00,Pending
R0071,L038,L013,Waste Collection,High,2026-07-15 15:44:00,2026-07-15 21:44:00,Pending
R0072,L027,L037,WiFi Outage,Medium,2026-07-05 08:27:00,2026-07-06 08:27:00,In Progress
R0073,L049,L032,Cleaning,Low,2026-07-15 16:27:00,2026-07-18 16:27:00,Completed
R0074,L018,L031,Shuttle Request,Low,2026-07-18 11:17:00,2026-07-21 11:17:00,Pending
R0075,L028,L030,Shuttle Request,Low,2026-07-02 13:26:00,2026-07-05 13:26:00,Pending
R0076,L049,L027,Shuttle Request,Low,2026-07-21 06:45:00,2026-07-24 06:45:00,Pending
R0077,L040,L017,Waste Collection,Low,2026-07-18 00:51:00,2026-07-21 00:51:00,Pending
R0078,L038,L034,Cleaning,High,2026-07-08 01:53:00,2026-07-08 07:53:00,Cancelled
R0079,L043,L022,Cleaning,Critical,2026-07-13 16:59:00,2026-07-13 18:59:00,Completed
R0080,L033,L001,Electrical,Low,2026-07-13 15:50:00,2026-07-16 15:50:00,Cancelled
R0081,L035,L036,IT Support,Low,2026-07-21 12:25:00,2026-07-24 12:25:00,Pending
R0082,L033,L003,Electrical,Critical,2026-07-10 01:22:00,2026-07-10 03:22:00,Completed
R0083,L025,L045,Cleaning,High,2026-07-15 15:47:00,2026-07-15 21:47:00,Pending
R0084,L026,L028,IT Support,Low,2026-07-08 13:06:00,2026-07-11 13:06:00,Assigned
R0085,L048,L017,Electrical,Low,2026-07-13 01:19:00,2026-07-16 01:19:00,Completed
R0086,L045,L033,IT Support,Medium,2026-07-21 22:05:00,2026-07-22 22:05:00,Pending
R0087,L042,L003,Cleaning,High,2026-07-05 22:41:00,2026-07-06 04:41:00,Completed
R0088,L009,L020,Furniture Repair,High,2026-07-21 08:28:00,2026-07-21 14:28:00,Assigned
R0089,L042,L049,Cleaning,Medium,2026-07-04 12:05:00,2026-07-05 12:05:00,Completed
R0090,L023,L028,Electrical,Medium,2026-07-13 18:56:00,2026-07-14 18:56:00,In Progress
R0091,L032,L005,WiFi Outage,Medium,2026-07-16 10:00:00,2026-07-17 10:00:00,In Progress
R0092,L007,L019,IT Support,Low,2026-07-10 09:20:00,2026-07-13 09:20:00,Completed
R0093,L019,L009,Waste Collection,High,2026-07-09 11:33:00,2026-07-09 17:33:00,Completed
R0094,L008,L045,Furniture Repair,High,2026-07-08 00:29:00,2026-07-08 06:29:00,Assigned
R0095,L014,L023,WiFi Outage,Low,2026-07-03 03:47:00,2026-07-06 03:47:00,In Progress
R0096,L049,L006,Furniture Repair,Low,2026-07-17 10:15:00,2026-07-20 10:15:00,Completed
R0097,L028,L007,Cleaning,Low,2026-07-20 00:51:00,2026-07-23 00:51:00,Completed
R0098,L037,L031,Plumbing,High,2026-07-15 04:40:00,2026-07-15 10:40:00,Completed
R0099,L014,L021,Plumbing,Low,2026-07-03 20:25:00,2026-07-06 20:25:00,Completed
R0100,L041,L048,WiFi Outage,Medium,2026-07-08 04:18:00,2026-07-09 04:18:00,Pending
R0101,L039,L047,Plumbing,High,2026-07-16 11:23:00,2026-07-16 17:23:00,Pending
R0102,L005,L048,IT Support,High,2026-07-19 10:35:00,2026-07-19 16:35:00,Completed
R0103,L017,L048,Electrical,Medium,2026-07-06 05:10:00,2026-07-07 05:10:00,Completed
R0104,L019,L009,Security,Low,2026-07-14 05:40:00,2026-07-17 05:40:00,Assigned
R0105,L015,L019,WiFi Outage,Low,2026-07-16 03:48:00,2026-07-19 03:48:00,Pending
R0106,L049,L040,Plumbing,Low,2026-07-08 13:19:00,2026-07-11 13:19:00,Completed
R0107,L032,L043,WiFi Outage,Critical,2026-07-02 06:23:00,2026-07-02 08:23:00,Pending
R0108,L049,L010,Furniture Repair,Low,2026-07-06 01:14:00,2026-07-09 01:14:00,Pending
R0109,L004,L025,Medical Assist,Low,2026-07-01 10:06:00,2026-07-04 10:06:00,In Progress
R0110,L036,L034,Plumbing,Low,2026-07-04 03:57:00,2026-07-07 03:57:00,Assigned
R0111,L047,L009,WiFi Outage,Medium,2026-07-12 14:40:00,2026-07-13 14:40:00,Completed
R0112,L044,L016,Cleaning,Critical,2026-07-10 01:25:00,2026-07-10 03:25:00,Assigned
R0113,L005,L021,Shuttle Request,Medium,2026-07-21 19:07:00,2026-07-22 19:07:00,Completed
R0114,L036,L017,Cleaning,High,2026-07-22 02:37:00,2026-07-22 08:37:00,Pending
R0115,L001,L014,Cleaning,Medium,2026-07-21 09:39:00,2026-07-22 09:39:00,In Progress
R0116,L005,L037,Cleaning,High,2026-07-09 08:00:00,2026-07-09 14:00:00,Pending
R0117,L045,L012,WiFi Outage,Low,2026-07-04 14:16:00,2026-07-07 14:16:00,Cancelled
R0118,L011,L003,Shuttle Request,High,2026-07-22 03:12:00,2026-07-22 09:12:00,Completed
R0119,L043,L034,Shuttle Request,Critical,2026-07-03 22:43:00,2026-07-04 00:43:00,Pending
R0120,L024,L031,Furniture Repair,High,2026-07-02 02:14:00,2026-07-02 08:14:00,Pending
R0121,L032,L038,WiFi Outage,Low,2026-07-11 14:08:00,2026-07-14 14:08:00,Completed
R0122,L024,L035,IT Support,Medium,2026-07-02 16:28:00,2026-07-03 16:28:00,In Progress
R0123,L020,L009,Electrical,Low,2026-07-03 14:59:00,2026-07-06 14:59:00,In Progress
R0124,L045,L017,Cleaning,Medium,2026-07-02 05:44:00,2026-07-03 05:44:00,Assigned
R0125,L013,L033,Cleaning,Low,2026-07-20 06:09:00,2026-07-23 06:09:00,In Progress
R0126,L011,L016,Medical Assist,Low,2026-07-15 18:18:00,2026-07-18 18:18:00,Completed
R0127,L018,L032,Waste Collection,Critical,2026-07-10 05:12:00,2026-07-10 07:12:00,Pending
R0128,L036,L021,Medical Assist,Low,2026-07-20 08:58:00,2026-07-23 08:58:00,In Progress
R0129,L028,L009,Plumbing,Medium,2026-07-13 10:23:00,2026-07-14 10:23:00,Completed
R0130,L026,L020,WiFi Outage,High,2026-07-12 20:44:00,2026-07-13 02:44:00,Completed
R0131,L040,L032,Medical Assist,Medium,2026-07-03 13:51:00,2026-07-04 13:51:00,Completed
R0132,L012,L021,Plumbing,Low,2026-07-16 08:18:00,2026-07-19 08:18:00,Completed
R0133,L001,L046,Medical Assist,High,2026-07-18 19:06:00,2026-07-19 01:06:00,Pending
R0134,L023,L009,Plumbing,Medium,2026-07-05 02:53:00,2026-07-06 02:53:00,Assigned
R0135,L008,L034,Electrical,Low,2026-07-13 13:35:00,2026-07-16 13:35:00,Pending
R0136,L020,L046,WiFi Outage,Low,2026-07-19 10:44:00,2026-07-22 10:44:00,In Progress
R0137,L039,L007,Shuttle Request,Low,2026-07-07 16:02:00,2026-07-10 16:02:00,Completed
R0138,L013,L012,Electrical,Medium,2026-07-15 13:36:00,2026-07-16 13:36:00,Pending
R0139,L040,L050,Plumbing,Medium,2026-07-18 09:53:00,2026-07-19 09:53:00,In Progress
R0140,L024,L003,Medical Assist,High,2026-07-08 10:24:00,2026-07-08 16:24:00,In Progress
R0141,L034,L036,Cleaning,Low,2026-07-11 08:25:00,2026-07-14 08:25:00,Assigned
R0142,L038,L027,IT Support,Low,2026-07-14 14:57:00,2026-07-17 14:57:00,Completed
R0143,L040,L029,IT Support,Critical,2026-07-16 14:00:00,2026-07-16 16:00:00,In Progress
R0144,L048,L029,Furniture Repair,Medium,2026-07-09 03:27:00,2026-07-10 03:27:00,Completed
R0145,L007,L023,Furniture Repair,Low,2026-07-01 12:00:00,2026-07-04 12:00:00,Completed
R0146,L011,L027,IT Support,Medium,2026-07-09 00:31:00,2026-07-10 00:31:00,Pending
R0147,L034,L016,Cleaning,Critical,2026-07-05 07:50:00,2026-07-05 09:50:00,Assigned
R0148,L044,L050,Cleaning,Medium,2026-07-15 02:01:00,2026-07-16 02:01:00,In Progress
R0149,L040,L036,WiFi Outage,Medium,2026-07-14 04:58:00,2026-07-15 04:58:00,Completed
R0150,L030,L002,Plumbing,Medium,2026-07-13 19:02:00,2026-07-14 19:02:00,In Progress
R0151,L036,L020,Electrical,Low,2026-07-13 09:53:00,2026-07-16 09:53:00,Completed
R0152,L019,L011,Shuttle Request,Low,2026-07-13 08:59:00,2026-07-16 08:59:00,Completed
R0153,L049,L018,Medical Assist,Medium,2026-07-18 03:55:00,2026-07-19 03:55:00,Assigned
R0154,L031,L011,Shuttle Request,Low,2026-07-09 11:06:00,2026-07-12 11:06:00,In Progress
R0155,L004,L008,Medical Assist,Low,2026-07-08 19:44:00,2026-07-11 19:44:00,Completed
R0156,L044,L033,Security,Medium,2026-07-02 20:19:00,2026-07-03 20:19:00,Completed
R0157,L021,L012,Shuttle Request,Medium,2026-07-19 11:08:00,2026-07-20 11:08:00,Completed
R0158,L009,L017,IT Support,Medium,2026-07-20 18:11:00,2026-07-21 18:11:00,Pending
R0159,L050,L036,Electrical,Low,2026-07-17 09:05:00,2026-07-20 09:05:00,In Progress
R0160,L029,L010,IT Support,Critical,2026-07-21 16:23:00,2026-07-21 18:23:00,Pending
R0161,L028,L032,Shuttle Request,Low,2026-07-13 06:22:00,2026-07-16 06:22:00,Completed
R0162,L020,L029,Security,Low,2026-07-20 14:33:00,2026-07-23 14:33:00,Completed
R0163,L049,L030,Electrical,Medium,2026-07-15 08:02:00,2026-07-16 08:02:00,Pending
R0164,L004,L013,Waste Collection,High,2026-07-10 10:26:00,2026-07-10 16:26:00,Completed
R0165,L047,L007,IT Support,Low,2026-07-14 08:35:00,2026-07-17 08:35:00,Pending
R0166,L042,L036,Furniture Repair,High,2026-07-14 05:21:00,2026-07-14 11:21:00,Pending
R0167,L004,L042,WiFi Outage,High,2026-07-16 14:36:00,2026-07-16 20:36:00,In Progress
R0168,L015,L033,Electrical,Medium,2026-07-14 13:43:00,2026-07-15 13:43:00,Completed
R0169,L021,L022,Furniture Repair,High,2026-07-06 00:09:00,2026-07-06 06:09:00,Completed
R0170,L031,L038,Electrical,Medium,2026-07-06 19:06:00,2026-07-07 19:06:00,Completed
R0171,L035,L045,Plumbing,Low,2026-07-07 11:08:00,2026-07-10 11:08:00,Completed
R0172,L008,L040,Medical Assist,Low,2026-07-19 00:00:00,2026-07-22 00:00:00,Completed
R0173,L043,L017,Cleaning,Medium,2026-07-08 18:49:00,2026-07-09 18:49:00,Assigned
R0174,L049,L002,Electrical,High,2026-07-09 05:13:00,2026-07-09 11:13:00,In Progress
R0175,L011,L014,WiFi Outage,Medium,2026-07-15 22:24:00,2026-07-16 22:24:00,Pending
R0176,L040,L050,Shuttle Request,Low,2026-07-01 22:12:00,2026-07-04 22:12:00,Pending
R0177,L024,L002,Furniture Repair,Low,2026-07-10 04:33:00,2026-07-13 04:33:00,Completed
R0178,L001,L017,Medical Assist,Low,2026-07-09 08:03:00,2026-07-12 08:03:00,Assigned
R0179,L006,L028,IT Support,Medium,2026-07-12 21:09:00,2026-07-13 21:09:00,Completed
R0180,L007,L042,WiFi Outage,Medium,2026-07-04 09:46:00,2026-07-05 09:46:00,Completed
R0181,L034,L011,IT Support,Medium,2026-07-13 21:40:00,2026-07-14 21:40:00,Completed
R0182,L017,L005,WiFi Outage,Medium,2026-07-02 09:46:00,2026-07-03 09:46:00,Pending
R0183,L042,L030,Cleaning,Low,2026-07-13 22:54:00,2026-07-16 22:54:00,Completed
R0184,L010,L012,Waste Collection,High,2026-07-07 18:48:00,2026-07-08 00:48:00,Pending
R0185,L018,L033,Furniture Repair,High,2026-07-21 20:44:00,2026-07-22 02:44:00,Completed
R0186,L017,L020,IT Support,High,2026-07-10 21:57:00,2026-07-11 03:57:00,Completed
R0187,L018,L023,IT Support,Medium,2026-07-03 04:38:00,2026-07-04 04:38:00,Assigned
R0188,L050,L031,Furniture Repair,Medium,2026-07-14 17:31:00,2026-07-15 17:31:00,In Progress
R0189,L012,L005,Plumbing,Medium,2026-07-11 17:16:00,2026-07-12 17:16:00,Completed
R0190,L049,L001,Furniture Repair,High,2026-07-01 22:30:00,2026-07-02 04:30:00,In Progress
R0191,L020,L042,Security,Medium,2026-07-06 18:45:00,2026-07-07 18:45:00,Assigned
R0192,L026,L048,Security,Low,2026-07-19 19:31:00,2026-07-22 19:31:00,In Progress
R0193,L034,L004,Plumbing,High,2026-07-17 00:35:00,2026-07-17 06:35:00,Cancelled
R0194,L020,L040,Electrical,High,2026-07-17 16:12:00,2026-07-17 22:12:00,Completed
R0195,L040,L008,WiFi Outage,Low,2026-07-07 00:21:00,2026-07-10 00:21:00,Assigned
R0196,L004,L021,Plumbing,High,2026-07-11 04:25:00,2026-07-11 10:25:00,Pending
R0197,L008,L029,IT Support,Medium,2026-07-12 04:13:00,2026-07-13 04:13:00,Assigned
R0198,L011,L022,Plumbing,Medium,2026-07-18 03:05:00,2026-07-19 03:05:00,Completed
R0199,L007,L012,Security,Medium,2026-07-15 08:33:00,2026-07-16 08:33:00,Assigned
R0200,L027,L039,Shuttle Request,Medium,2026-07-02 03:20:00,2026-07-03 03:20:00,Completed
R0201,L004,L001,Cleaning,Medium,2026-07-07 20:54:00,2026-07-08 20:54:00,Completed
R0202,L014,L018,WiFi Outage,Medium,2026-07-17 02:50:00,2026-07-18 02:50:00,Completed
R0203,L022,L019,Security,Medium,2026-07-10 10:24:00,2026-07-11 10:24:00,Completed
R0204,L032,L010,IT Support,Medium,2026-07-08 23:56:00,2026-07-09 23:56:00,In Progress
R0205,L029,L017,Plumbing,Low,2026-07-19 00:00:00,2026-07-22 00:00:00,Completed
R0206,L021,L022,Security,Low,2026-07-05 05:42:00,2026-07-08 05:42:00,Completed
R0207,L036,L048,WiFi Outage,High,2026-07-18 18:39:00,2026-07-19 00:39:00,In Progress
R0208,L014,L035,Waste Collection,Medium,2026-07-15 23:38:00,2026-07-16 23:38:00,Pending
R0209,L043,L039,Medical Assist,High,2026-07-11 02:48:00,2026-07-11 08:48:00,Pending
R0210,L024,L016,Furniture Repair,High,2026-07-04 16:10:00,2026-07-04 22:10:00,Pending
R0211,L025,L047,Security,Low,2026-07-17 18:10:00,2026-07-20 18:10:00,In Progress
R0212,L044,L035,Security,Medium,2026-07-08 17:11:00,2026-07-09 17:11:00,Assigned
R0213,L046,L050,Cleaning,Low,2026-07-17 13:34:00,2026-07-20 13:34:00,In Progress
R0214,L039,L016,Shuttle Request,Critical,2026-07-20 12:52:00,2026-07-20 14:52:00,Completed
R0215,L045,L033,IT Support,Low,2026-07-14 02:54:00,2026-07-17 02:54:00,Assigned
R0216,L027,L048,Furniture Repair,Low,2026-07-12 07:39:00,2026-07-15 07:39:00,Assigned
R0217,L009,L049,IT Support,Critical,2026-07-03 21:07:00,2026-07-03 23:07:00,Completed
R0218,L026,L039,IT Support,Low,2026-07-17 09:26:00,2026-07-20 09:26:00,Pending
R0219,L023,L020,WiFi Outage,Low,2026-07-15 22:58:00,2026-07-18 22:58:00,In Progress
R0220,L019,L045,Security,High,2026-07-08 21:35:00,2026-07-09 03:35:00,Completed
R0221,L014,L002,Cleaning,Low,2026-07-16 14:50:00,2026-07-19 14:50:00,Completed
R0222,L045,L035,Medical Assist,Low,2026-07-21 22:24:00,2026-07-24 22:24:00,Cancelled
R0223,L026,L018,Plumbing,High,2026-07-05 01:10:00,2026-07-05 07:10:00,Completed
R0224,L048,L037,Plumbing,Critical,2026-07-11 06:18:00,2026-07-11 08:18:00,Assigned
R0225,L031,L030,Security,Low,2026-07-09 04:25:00,2026-07-12 04:25:00,Completed
R0226,L047,L032,Security,Low,2026-07-16 19:48:00,2026-07-19 19:48:00,Completed
R0227,L002,L011,Security,Low,2026-07-15 07:05:00,2026-07-18 07:05:00,Assigned
R0228,L046,L041,IT Support,Low,2026-07-02 15:43:00,2026-07-05 15:43:00,Pending
R0229,L024,L023,Plumbing,Medium,2026-07-20 10:42:00,2026-07-21 10:42:00,Assigned
R0230,L028,L033,Electrical,Medium,2026-07-08 22:00:00,2026-07-09 22:00:00,Pending
R0231,L005,L046,Plumbing,Low,2026-07-19 23:31:00,2026-07-22 23:31:00,Completed
R0232,L017,L026,Furniture Repair,Low,2026-07-04 01:49:00,2026-07-07 01:49:00,Pending
R0233,L029,L049,Security,High,2026-07-21 05:04:00,2026-07-21 11:04:00,Pending
R0234,L006,L015,Shuttle Request,Medium,2026-07-20 01:15:00,2026-07-21 01:15:00,Completed
R0235,L042,L043,Plumbing,Medium,2026-07-04 22:58:00,2026-07-05 22:58:00,Completed
R0236,L031,L045,IT Support,Critical,2026-07-15 03:36:00,2026-07-15 05:36:00,In Progress
R0237,L022,L025,Shuttle Request,High,2026-07-21 00:44:00,2026-07-21 06:44:00,In Progress
R0238,L050,L002,Electrical,Medium,2026-07-04 07:25:00,2026-07-05 07:25:00,Cancelled
R0239,L035,L025,Security,Critical,2026-07-15 10:26:00,2026-07-15 12:26:00,Pending
R0240,L027,L028,Furniture Repair,High,2026-07-13 20:51:00,2026-07-14 02:51:00,Completed
R0241,L024,L016,Medical Assist,Medium,2026-07-21 22:00:00,2026-07-22 22:00:00,Cancelled
R0242,L041,L005,Waste Collection,Critical,2026-07-01 23:39:00,2026-07-02 01:39:00,Assigned
R0243,L040,L017,IT Support,High,2026-07-08 12:09:00,2026-07-08 18:09:00,Pending
R0244,L038,L043,IT Support,Critical,2026-07-19 22:57:00,2026-07-20 00:57:00,Pending
R0245,L017,L003,Electrical,High,2026-07-02 02:30:00,2026-07-02 08:30:00,Assigned
R0246,L030,L039,IT Support,Medium,2026-07-04 17:49:00,2026-07-05 17:49:00,In Progress
R0247,L049,L041,Waste Collection,Low,2026-07-07 15:16:00,2026-07-10 15:16:00,Completed
R0248,L014,L020,IT Support,Critical,2026-07-07 01:54:00,2026-07-07 03:54:00,Completed
R0249,L009,L006,Electrical,Low,2026-07-13 00:52:00,2026-07-16 00:52:00,Completed
R0250,L018,L021,Plumbing,Low,2026-07-10 18:00:00,2026-07-13 18:00:00,Assigned
R0251,L048,L020,IT Support,Medium,2026-07-09 00:32:00,2026-07-10 00:32:00,Assigned
R0252,L024,L042,IT Support,Low,2026-07-19 14:12:00,2026-07-22 14:12:00,Assigned
R0253,L017,L036,Cleaning,Low,2026-07-19 22:52:00,2026-07-22 22:52:00,Completed
R0254,L031,L003,Furniture Repair,Low,2026-07-11 07:30:00,2026-07-14 07:30:00,Pending
R0255,L038,L042,WiFi Outage,Medium,2026-07-06 15:25:00,2026-07-07 15:25:00,Assigned
R0256,L008,L043,Security,Low,2026-07-07 02:58:00,2026-07-10 02:58:00,In Progress
R0257,L035,L034,WiFi Outage,High,2026-07-01 17:40:00,2026-07-01 23:40:00,Assigned
R0258,L042,L049,Cleaning,Medium,2026-07-03 11:06:00,2026-07-04 11:06:00,Pending
R0259,L045,L029,Waste Collection,Medium,2026-07-16 08:28:00,2026-07-17 08:28:00,Completed
R0260,L050,L023,Furniture Repair,Medium,2026-07-05 20:43:00,2026-07-06 20:43:00,In Progress
R0261,L028,L029,Security,Critical,2026-07-14 02:40:00,2026-07-14 04:40:00,Completed
R0262,L033,L023,Furniture Repair,Medium,2026-07-21 03:55:00,2026-07-22 03:55:00,Pending
R0263,L048,L047,Medical Assist,Low,2026-07-19 00:33:00,2026-07-22 00:33:00,Completed
R0264,L031,L020,Waste Collection,High,2026-07-11 06:17:00,2026-07-11 12:17:00,Assigned
R0265,L030,L009,Medical Assist,Low,2026-07-08 06:37:00,2026-07-11 06:37:00,Completed
R0266,L026,L001,IT Support,High,2026-07-08 01:13:00,2026-07-08 07:13:00,Pending
R0267,L026,L049,Shuttle Request,Medium,2026-07-19 11:51:00,2026-07-20 11:51:00,Assigned
R0268,L039,L019,Electrical,Medium,2026-07-03 15:32:00,2026-07-04 15:32:00,Completed
R0269,L044,L023,Cleaning,Low,2026-07-08 03:36:00,2026-07-11 03:36:00,Assigned
R0270,L002,L050,Plumbing,Low,2026-07-08 19:30:00,2026-07-11 19:30:00,Completed
R0271,L032,L015,Shuttle Request,Low,2026-07-02 02:36:00,2026-07-05 02:36:00,Completed
R0272,L026,L018,Plumbing,High,2026-07-12 11:31:00,2026-07-12 17:31:00,Completed
R0273,L038,L035,Furniture Repair,Medium,2026-07-07 00:26:00,2026-07-08 00:26:00,In Progress
R0274,L050,L028,Medical Assist,High,2026-07-06 12:18:00,2026-07-06 18:18:00,Completed
R0275,L003,L034,WiFi Outage,Low,2026-07-10 09:28:00,2026-07-13 09:28:00,Assigned
R0276,L044,L003,Medical Assist,Low,2026-07-10 13:23:00,2026-07-13 13:23:00,Assigned
R0277,L023,L026,Electrical,Low,2026-07-16 17:31:00,2026-07-19 17:31:00,Cancelled
R0278,L047,L031,Shuttle Request,Low,2026-07-04 04:03:00,2026-07-07 04:03:00,Pending
R0279,L038,L029,Furniture Repair,Low,2026-07-12 04:50:00,2026-07-15 04:50:00,Assigned
